no,text
532,http listener with basic auth should return status code 401 when authentication fails . when using the basic-auth with the new module http listener it returns a 500 status code but it would be better to return a 401 like the old http does . example : < flow name= '' listenerbasicauth '' > < http : listener config-ref= '' listenerconfigbasicauth '' path= '' /basic/ '' / > < http : basic-security-filter realm= '' mule-realm '' / > < ! -- < mule-ss : http-security-filter realm= '' mule-realm '' / > -- > < set-payload value= '' testbasicauthok '' / > < /flow > < flow name= '' httpinboundbasicauth '' > < inbound-endpoint address= '' http : //localhost:9016/http_basic '' > < mule-ss : http-security-filter realm= '' mule-realm '' / > < /inbound-endpoint > < set-payload value= '' testhttpbasicauthok '' / > < /flow > in the first flow ( listenerbasicauth ) using the tag : - < http : basic-security-filter realm= '' mule-realm '' / > or - < mule-ss : http-security-filter realm= '' mule-realm '' / > after the listener it returns a 500 in an invalid authentication . but with the old http   in the second flow ( `` httpinboundbasicauth '' ) it returns a 401 .
533,hot spot in serveraddress of http connector . when serveraddress executes : this.ip = inetaddress.getbyname ( host ) .gethostaddress ( ) ; it 's take a while to return . we need to improve it since it 's used with every request .
534,add mule_remote_client_address property in the new http connector . the http transport sets a variable with the address of the client in inbound connections   but is able to detect if the request comes from a proxy ( if so   the value of the x-forwarded-for header is used instead of the ip of the proxy ) . this is explained in mule-7263 . we need to provide this functionality in the new http connector .
535,http requester not sending query parameters when processing a redirect under https . check the behavior of redirects in the http : request element of the new http module when using https . if the location header contains a url with query parameters   the request to that url does n't contain the parameters . to reproduce   check authorizationcodefullconfigtestcase # localauthorizationurlredirectstooauthauthorizationurl . muleclient is being used twice   to manually process redirects   replace that with only one call with enabled redirects .
536,upgrade schema versions to 3.6 . upgrade schema versions to 3.6
537,the application logging configuration is not read or used . . when deploying an app with a logging congif ( log4j2.xml )   mule doesnt use its config and use the default every time . steps to reproduce : deploy the attached app on a mule instance . wait for it to be deployed . the default app log will be created no matter which configuration was given . expected behavior : log into the configured file instead of the default one   if using console   should log into mule_ee.log or mule.log ( depending on the distribution ) .
538,http requester not removing previous inbound properties . the http : request sets inbound properties to the resulting mule message but keeps any previous inbound property that were set before the request . to reproduce   test the proxy scenario using a flow with an http : listener and an http : request . when returning from the request   the mule message still has inbound properties from the listener .
539,tcp transport creating mule_remote_client_address as outbound . while working on studio-5148   the team found that tcp is creating the mule_remote_client_address as outbound property rather than inbound as per our way to adapt messages and the way we set that property everywhere else . https : //github.com/mulesoft/mule/blob/bfb3a17263d1e4b32ee10272cbf710a2bf41b16b/transports/tcp/src/main/java/org/mule/transport/tcp/tcpmessagereceiver.java # l421
540,default maxthreads is 128 when worker-threading-profile is n't present but 16 when it is . . as title ..
541,http listener module path issue with path with wildcard and another hardcoded in the same port and with spaces in the path . when there are two listeners in the same port but one has a wildcard the other has a hardcoded path and there is a collision between them it has to enter in the listener that has the hardcoded path . for example : 1 ) flow with path = `` /in '' and another flow with path = `` /in/ * `` it enters in the /in/ * listener but it should enter in the `` /in '' without wildcard 2 ) path= '' /in/ * /subpath1 '' path=/in/ * when you consume it with `` /in/foo1/subpath1 '' it goes to the path /in/ * 3 ) similar to the previous case . path= '' /in/ * /subpath1/ * '' and path=/in/ * when you consume it with `` /in/foo1/subpath1/subpath2 '' it goes with the /in/ * 4 ) path= '' /encodedvalues/foo 1 '' and you consume it with /encodedvalues/foo % 201 it returns a 404. for all of these cases there are functional test cases inside the system folder of the http module tests : * httplistenerpathtestcase
542,arrayindexoutofboundsexception when logging exceptions . sometimes   when logging an exception with a rollingfileappender an arrayindexoutofboundsexception is thrown .
543,tests infrastructure modules build warning . when running mvn validate on mule-tests-infrastructure module i get a warning because there is a duplicated declaration of maven-jar-plugin in mule pom.xml . { noformat } [ info ] scanning for projects ... [ warning ] [ warning ] some problems were encountered while building the effective model for org.mule.tests : mule-tests-infrastructure : jar:3.7.0-m1-snapshot [ warning ] 'build.plugins.plugin . ( groupid : artifactid ) ' must be unique but found duplicate declaration of plugin org.apache.maven.plugins : maven-jar-plugin @ org.mule : mule:3.7.0-m1-snapshot   /users/alejandrosequeira/dev/mule/ce/pom.xml   line 1803   column 21 [ warning ] [ warning ] it is highly recommended to fix these problems because they threaten the stability of your build . [ warning ] [ warning ] for this reason   future maven versions might no longer support building such malformed projects . [ warning ] [ info ] [ info ] using the builder org.apache.maven.lifecycle.internal.builder.singlethreaded.singlethreadedbuilder with a thread count of 1 [ info ] [ info ] -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- [ info ] building mule tests infrastructure 3.7.0-m1-snapshot [ info ] -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- [ info ] [ info ] -- - maven-enforcer-plugin:1.0.1 : enforce ( enforce-maven-version ) @ mule-tests-infrastructure -- - [ info ] -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- [ info ] build success [ info ] -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- [ info ] total time : 1.269 s [ info ] finished at : 2014-12-02t16:40:14-03:00 [ info ] final memory : 9m/246m [ info ] -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- { noformat }
544,change io strategy in http requester . use samethreadiostrategy in the outbound part of he new http connector . as the exchange pattern is always request-response it makes no sense to use a different thread worker to process the request .
545,cxf proxy test seems to be slower with the new http module than with the http transport . . the proxytestcase with proxy-conf-flow.xml as config file runs for 1 minute and 25 seconds   but with proxy-newhttp-conf-flow.xml ( using the new http module ) it runs for 3 minutes and 15 seconds .
546,error in the xml parser of the http module when the header tag is used with the error response builder . this exception is throw when there is an error response builder : `` nested exception is java.lang.illegalstateexception : no parser defined for header in the context error-response-builder ''
547,stringindexoutofboundsexception when requester receives get with wrong body . when sending a get with content-type application/x-www-form-urlencoded and an incorrect form body it returns an empty response due to a java.lang.stringindexoutofboundsexception . to reproduce run the following command using the configuration : { noformat } $ curl -g -- data 'hello ' http : //localhost:8080/1 curl : ( 52 ) empty reply from server { noformat }
548,max connections exceeded in the outbound part should block instead of failing . when running the proxy scenario under more than 10 concurrent threads   the requests starts to fail due max connections limit exceeded . this parameter is not set   so this should be the default `` -1 '' ... no limit . the tcp configuration has been removed from the requester to asure that this issue is probably from the listener . also on the core log this exception has been found : dic 03   2014 3:07:20 pm org.glassfish.grizzly.nio.transport.tcpniotransport configurechannel warning : grizzly0004 : can not set tcp_nodelay to true java.net.socketexception : invalid argument sun.nio.ch.net.setintoption0 ( native method ) sun.nio.ch.net.setsocketoption ( net.java:373 ) sun.nio.ch.socketchannelimpl.setoption ( socketchannelimpl.java:189 ) sun.nio.ch.socketadaptor.setbooleanoption ( socketadaptor.java:295 ) sun.nio.ch.socketadaptor.settcpnodelay ( socketadaptor.java:330 ) org.glassfish.grizzly.nio.transport.tcpniotransport.configurechannel ( tcpniotransport.java:445 ) org.glassfish.grizzly.nio.transport.tcpnioconnectorhandler.onconnectedasync ( tcpnioconnectorhandler.java:214 ) org.glassfish.grizzly.nio.transport.tcpnioconnectorhandler $ 1.connected ( tcpnioconnectorhandler.java:154 ) org.glassfish.grizzly.nio.transport.tcpnioconnection.onconnect ( tcpnioconnection.java:258 ) org.glassfish.grizzly.nio.transport.tcpniotransport.fireioevent ( tcpniotransport.java:552 ) org.glassfish.grizzly.strategies.abstractiostrategy.fireioevent ( abstractiostrategy.java:112 ) org.glassfish.grizzly.strategies.workerthreadiostrategy.run0 ( workerthreadiostrategy.java:117 ) org.glassfish.grizzly.strategies.workerthreadiostrategy.executeioevent ( workerthreadiostrategy.java:103 ) org.glassfish.grizzly.strategies.abstractiostrategy.executeioevent ( abstractiostrategy.java:89 ) org.glassfish.grizzly.nio.selectorrunner.iteratekeyevents ( selectorrunner.java:414 ) org.glassfish.grizzly.nio.selectorrunner.iteratekeys ( selectorrunner.java:383 ) org.glassfish.grizzly.nio.selectorrunner.doselect ( selectorrunner.java:347 ) org.glassfish.grizzly.nio.selectorrunner.run ( selectorrunner.java:278 ) org.glassfish.grizzly.threadpool.abstractthreadpool $ worker.dowork ( abstractthreadpool.java:565 ) org.glassfish.grizzly.threadpool.abstractthreadpool $ worker.run ( abstractthreadpool.java:545 ) java.lang.thread.run ( thread.java:745 ) dic 03   2014 3:07:20 pm org.glassfish.grizzly.nio.transport.tcpniotransport configurechannel warning : grizzly0006 : can not set so_reuseaddr to true java.net.socketexception : invalid argument sun.nio.ch.net.setintoption0 ( native method ) sun.nio.ch.net.setsocketoption ( net.java:373 ) sun.nio.ch.socketchannelimpl.setoption ( socketchannelimpl.java:189 ) sun.nio.ch.socketadaptor.setbooleanoption ( socketadaptor.java:295 ) sun.nio.ch.socketadaptor.setreuseaddress ( socketadaptor.java:413 ) org.glassfish.grizzly.nio.transport.tcpniotransport.configurechannel ( tcpniotransport.java:451 ) org.glassfish.grizzly.nio.transport.tcpnioconnectorhandler.onconnectedasync ( tcpnioconnectorhandler.java:214 ) org.glassfish.grizzly.nio.transport.tcpnioconnectorhandler $ 1.connected ( tcpnioconnectorhandler.java:154 ) org.glassfish.grizzly.nio.transport.tcpnioconnection.onconnect ( tcpnioconnection.java:258 ) org.glassfish.grizzly.nio.transport.tcpniotransport.fireioevent ( tcpniotransport.java:552 ) org.glassfish.grizzly.strategies.abstractiostrategy.fireioevent ( abstractiostrategy.java:112 ) org.glassfish.grizzly.strategies.workerthreadiostrategy.run0 ( workerthreadiostrategy.java:117 ) org.glassfish.grizzly.strategies.workerthreadiostrategy.executeioevent ( workerthreadiostrategy.java:103 ) org.glassfish.grizzly.strategies.abstractiostrategy.executeioevent ( abstractiostrategy.java:89 ) org.glassfish.grizzly.nio.selectorrunner.iteratekeyevents ( selectorrunner.java:414 ) org.glassfish.grizzly.nio.selectorrunner.iteratekeys ( selectorrunner.java:383 ) org.glassfish.grizzly.nio.selectorrunner.doselect ( selectorrunner.java:347 ) org.glassfish.grizzly.nio.selectorrunner.run ( selectorrunner.java:278 ) org.glassfish.grizzly.threadpool.abstractthreadpool $ worker.dowork ( abstractthreadpool.java:565 ) org.glassfish.grizzly.threadpool.abstractthreadpool $ worker.run ( abstractthreadpool.java:545 ) java.lang.thread.run ( thread.java:745 )
549,jetty http.context.path inbound property has a different value in 3.6 compared to 3.5 . the jetty transport in 3.6.0-m3 is setting the http.context.path inbound property to a different value than 3.5 given the following endpoint address and request : endpoint address : http : //localhost:8080/api request : http : //localhost:8080/api/console/index.html in 3.6 we get : http.context.path : /api/console/index.html and in 3.5 the value was : http.context.path : /api the 3.5 behavior is the expected one .
550,resource not found in http should return a body with a clear message . http module returns 404 when a valid port is hit but there 's no listener in it .
551,http listener module is not adding the www-authenticate header field in the response . when you send bad basic credentials for authentication the response of the listener is not adding the www-authenticate header field . but in the case you do n't send the authentication header credential it includes the www-authenticate header field . as i understand in the rfc ( http : //tools.ietf.org/html/rfc2616 # section-10.4.2 ) the server has to add the www-authenticate header field in both scenarios .
552,http listener config throws npe when a request is received but no listener is referencing the config . when no listener is referencing a listener-config   and a request is received in the configured port   a npe is thrown in the server . to reproduce   add this listener-config : < http : listener-config name= '' customconfig '' host= '' localhost '' port= '' 1234 '' / > run the app   and then hit with a browser http : //localhost:1234
553,null pointer exception on the first request causes the listener to close the connection . . when loading the application   the first request fails to be processed due an exception and after that no connection can be created   probably the listener 's socket is close on the exception .
554,http listener not setting exception payload . . there 's a scenario in cxf where an exception is thrown after calling an http listener . an exception payload is expected but you get null . test is testserverclientproxydefaultexception and can be found in exceptionstrategytestcase .
555,log separation does n't work after upgrading to log4j 2.1 . because of a change in log4j 's lifecycle   after upgrading to 2.1 the application logs never load their configuration which in practice means that log separation is disabled even though applications do have a separate logging context .
556,jul loggers are not bridged to log4j2 . components like jersey and grizzly are logging using jul but that api is not bridged to log4j2 . jul loggers should have the same treatment as the others do
557,thread names are i ) lacking app prefix ii ) duplicated between http inbound and outbound . i have checked this is not an issue for per-app logging   but i beleive it 's an issue for mmc and possibly other things . it 's also bad practice to repeat thread names .
558,http listener is storing only the first part of a multipart request as attachment . given the following request using restassured : { code } given ( ) .multipart ( `` description ''   `` barcelona badge '' ) .multipart ( `` image ''   `` bbva.jpg ''   this.getclass ( ) .getclassloader ( ) .getresourceasstream ( `` org/mule/module/apikit/leagues/bbva.jpg '' ) ) .expect ( ) .statuscode ( 200 ) .body ( `` upload ''   is ( `` ok '' ) ) .when ( ) .put ( `` /api/leagues/liga-bbva/badge '' ) ; { code } only the first part ( `` description '' ) is being stored as an inboundattachment . using http : inbound instead of listener generates both attachments as expected . failing test using listener : https : //github.com/mulesoft/apikit/blob/http-3.6/mule-module-apikit/src/test/java/org/mule/module/apikit/leagues/leagueshttplistenertestcase.java passing test using endpoint : https : //github.com/mulesoft/apikit/blob/http-3.6/mule-module-apikit/src/test/java/org/mule/module/apikit/leagues/leaguestestcase.java in both classes the test in question is putmultipartformdata ( )
559,can not add contextresolver in jersey module . when trying to add a context-resolver in 3.6.0 it seems that mule do n't do anything . to reproduce download the attached project and run mvn clean test using mule.version 3.6.0-m3-snapshot ( the current value ) and see that it does n't fail . if you use 3.5.0 it fails .
560,grizzly thread leaks . when running the ce test suite   you can see grizzly threads piling up to the point in which by the time the suite is almost over there 's a gigantic amount of idle threads . this leads to flakiness and in some environments it even fails the build because the host ca n't allocate more threads . additionally   it raises the concern about those threads being actually stopped when an application is undeployed on a live container . please trace and fix the leak and verify that those threads do not survive an application undeployment .
561,support doc/literal with multiple message parts in ws consumer . ws consumer should support doc/literal web services that have multiple message parts inside them . note : since ws consumer sets the payload to the body of the soap message   this means that it will have to have a wrapper element around the message parts .
562,ws encryption support for ws consumer . we should support ws security encryption/decryption capabilities in ws consumer .
563,ws security signature support for ws consumer . we should support ws security signature and verification capabilities in ws consumer .
564,http connector oauth implicit credentials . need to support oauth implicit credentials for new http connector .
565,malformed responses when jersey sends a chuncked response . when a jersey endpoint responds with a chuncked response   then the chunks are not correctly formed and the last one is not correctly finialized . as a result   the response is garbled .
566,create examples for http module documentation . create exmaples to include in documentation for new http module .
567,it is n't possible to set the module http listener config and an oauth provider in the same port . as the mule oauth provider use the http transport you ca n't set the same port in the provider and the http module configs of the flows that have the resources . also there is a problem when you change the port of the provider to not overlap them and deploy the app because it goes on with the error of `` bindexception : address already in use '' . you have to stop the mule standalone and started again .
568,java.lang.illegalstateexception : only owner thread can write to message still occures with http module . .
569,100 % errors with http listener under high concurrency . 100 % failures at 8000 concurrency . http transport only has 0.32 % failures   and jetty none .
570,http listener fails with npe when the message is filtered out . the following config is failing with npe . it does n't fail when the message is not filtered out . error : java.lang.nullpointerexception org.mule.module.http.internal.listener.httpresponsebuilder.build ( httpresponsebuilder.java:77 ) ~ [ mule-module-http-3.6.0-m3-snapshot.jar:3.6.0-m3-snapshot ] org.mule.module.http.internal.listener.httpmessageprocessortemplate.sendresponsetoclient ( httpmessageprocessortemplate.java:87 ) ~ [ mule-module-http-3.6.0-m3-snapshot.jar:3.6.0-m3-snapshot ] org.mule.execution.asyncresponseflowprocessingphase.runphase ( asyncresponseflowprocessingphase.java:56 ) ~ [ mule-core-3.6.0-m3-snapshot.jar:3.6.0-m3-snapshot ] org.mule.execution.asyncresponseflowprocessingphase.runphase ( asyncresponseflowprocessingphase.java:23 ) ~ [ mule-core-3.6.0-m3-snapshot.jar:3.6.0-m3-snapshot ]
571,requests randomly fail ( 1 in 1m ) with npe   even at low conconcurrencies e.g . 50 . around 10 times in a million requests   the request fails due a null pointer exception caused by the future returning null instead of a valid response . class and line : org.mule.module.http.internal.request.grizzly.grizzlyhttpclient # send response = future.get ( responsetimeout   timeunit.milliseconds ) ;
572,spike on execution model of extensions api . make it execute operations
573,make a spike on consolidating all mule registries into a spring one . make a spike on consolidating all mule registries into a spring one
574,remove byte as a dataqualifier . remove it
575,refactor transport discovery for osgi . current transport discovery mechanism inspects all available jars searching for service properties files . that must be modified to work on an osgi container . in osgi   transport discovery should follow white-board model so a transport service can be used ( with no osgi knowledge ) which would enable test running with not container to be able to properly create the mule context .
576,redesign context builder discovery for osgi . current context builder discovery mechanism inspects all available jars searching for service properties files . that must be modified to work on an osgi container . in osgi   transport discovery should follow white-board model so a context builder service can be used ( with no osgi knowledge ) which would enable test running with not container to be able to properly create the mule context .
577,can not log to application log for a failed deployment . install latest snapshot ( build c22fb549 )   create an application with the attached config and start using bin/mule -m-dmule.agent.enabled=false . deployment fails as expected but there is a problem when trying to log to application log . see attached log .
578,add protocol attribute to listener-config and request-config to improve usability . currently is difficult for an user to realice how to configure https for listening http requests or sending http requests . the way to do that currently is by defining a tls context element ( which can be empty for sending request   in such case it will use jvm default certificatess ) inside the listener-config or de request-config element . that it 's not straightforward if the user is working with xml and for users that do not know that ssl / tls is the protocol behing https is n't either despite they use studio . the idea is to add a protocol attribute ( with default value http ) in the listener-config and the request-config . - listener config : - if user sets protocol= '' http '' or provides no values then we validate that the user did n't put a tlscontext . - if user sets protocol= '' https '' we validate that the user provided a tlscontext with at least a keystore configured on it . - request config : - if user sets protocol= '' http '' or provides no value then we validate that the user did n't put a tlscontext - if user sets protocol= '' https '' and provides no tlscontext config then we create a tlscontext by default ( implicitly ) using the default jvm certificates - if http is selected   port 80 is used by default - if https is selected   port 443 is used by default the usability improvements is : from studio the user has a much more easy way to find where to define the use of https since it 's going to be in the main configuration section of both listener-config and request-config from xml the user will see a hint from the xml content assistant to pick the protocol right in the listener-config element or request-config element . with the new behaviour there 's no reason to support an empty tls : context element in the config . when we rebuild the current tcp transport ideally we can reuse the same mechanism as in http ( no idea what the `` protocol '' attribute would be called in that case ) or add support for an empty tls : context again .
579,deprecate http transport . deprecate xml elements of the http transport .
580,httplistener parametermap should behave as a map . parametermap is a map < string   string > and holds the values of query parameters   uri parameters and post params . the problem that currently have are : - the parameter map is mutable when it should't - it does not have an api in the interface that can be used by the user ( there 's an special method getall used when a parameter returns a collection of values ) - it does not comply with the map interface for map < string   string > as it declares .
581,default https configuration in requester not working correctly . the protocol= '' https '' configuration in the request-config is ignored if there is no default tls context factory in the registry .
582,remove maven warnings . we recently had an [ issue|mule-8113 ] with our maven build   it was n't including a dependency . when doing a little research i found that it was because a duplicated declaration of maven-jar-plugin . this root problem did n't appear when building the module   but when building an ancestor ( distance 2 ) . to avoid this kind of issues we must ensure that we do n't have maven warning in our builds .
583,http listener fails during initialization inside batch . when adding an http : listener inside the input of a batch job then the app fails during startup . seems that defaultbatchengine is asking for all the batch jobs during initialization   then the batch job manually executes initialize and injection over the input elements ( http : listener ) but at this point the httplistenerconnectionmanager has not bean registered ( using registry bootstrap ) so there 's a null pointer during listener initialization .
584,problem sending outbound attachments in http requester . when sending a multipart request   the requester assumes that each part is a file   and adds the corresponding headers ( filename attribute at the beginning of the part   transfer-encoding : binary   etc ) . this makes the request to be invalid in some cases . use case to test : upload a file to box . example test ( replace the dev token and the parent folder id ) : < http : request-config name= '' requestconfig '' host= '' upload.box.com '' port= '' 443 '' protocol= '' https '' responsetimeout= '' 10000 '' / > < flow name= '' test '' > < set-attachment attachmentname= '' attributes '' value= '' { & quot ; name & quot ; : & quot ; test.txt & quot ;   & quot ; parent & quot ; : { & quot ; id & quot ; : & quot ; 12345678 & quot ; } } '' contenttype= '' application/json '' / > < set-attachment attachmentname= '' test.txt '' value= '' test content '' contenttype= '' text/plain '' / > < http : request config-ref= '' requestconfig '' path= '' /api/2.0/files/content '' method= '' post '' > < http : request-builder > < http : header headername= '' authorization '' value= '' bearer xxxxxxxxxxxxx '' / > < /http : request-builder > < /http : request > < /flow > the requester sends a multipart request with the following format . post /api/2.0/files/content http/1.1 host : localhost:8082 authorization : bearer xxxxxxxxxx mule_encoding : utf-8 connection : keep-alive accept : * / * user-agent : ning/1.0 content-type : multipart/form-data ; boundary=tdv259ab4d2jorezekophg5ikreks3mio2jc content-length : 463 -- tdv259ab4d2jorezekophg5ikreks3mio2jc content-disposition : form-data ; name= '' attributes '' ; filename= '' attributes '' content-type : application/json content-transfer-encoding : binary { `` name '' : '' test.txt ''   `` parent '' : { `` id '' : '' 12345678 '' } } -- tdv259ab4d2jorezekophg5ikreks3mio2jc content-disposition : form-data ; name= '' test.txt '' ; filename= '' test.txt '' content-type : text/plain content-transfer-encoding : binary test content -- tdv259ab4d2jorezekophg5ikreks3mio2jc -- the problem is the `` attributes '' part   which is sent as a file part . it should n't contain the filename attribute   and the transfer encoding should n't be binary . postman just sends the following   and it works correctly : content-disposition : form-data ; name= '' attributes '' { `` name '' : '' test.txt ''   `` parent '' : { `` id '' : '' 12345678 '' } }
585,http listener server should return method not supported . when there 's at least one http listener for a uri but the listeners for that uri do not support a given method an status code 405 method not allowed should be return . currently it 's returning 404 .
586,change the asynccompletionhandler in the http requester to use a static logger . the asynccompletionhandler used by ahc in the http requester uses a logger that is stored in an instance variable . change it to use a class variable   to avoid loading the logger from the logger factory each time a request is sent ( an asynccompletionhandler is created for each request ) .
587,mule starts when a request element has host/port undefined   only failing when request is used . . this should fail at startup   not in runtime .
588,improve http listener logging for usability . mule does not log to show what host/port/path mule listening on . this is important for understanding what might be going on when things are n't working as expected   and existed with the existing http transport . also   error/logs related to listeners not being available should take into account `` allowedmethods '' otherwise errors like this which make no sense occur : { code } warn 2014-12-30 10:01:46 424 [ [ http-module-echo ] .http_listener_configuration.worker.01 ] org.mule.module.http.internal.listener.httplistenerregistry : no listener found for request : / warn 2014-12-30 10:01:46 424 [ [ http-module-echo ] .http_listener_configuration.worker.01 ] org.mule.module.http.internal.listener.httplistenerregistry : available listeners are : [ / ] { code }
589,listener response streaming only returns part of body . . if you edit this test case to use larger body sizes   then tests begin to fail : org.mule.module.http.functional.listener.httplistenerresponsestreamingtestcase
590,exception in http listener when path= '' / '' and basepath= '' / '' . when using an http : listener with path= '' / ''   and referencing a listener-config where basepath= '' / ''   then an arrayindexoutofbounds exception is thrown when receiving a request .
591,http requester not adding the reason phrase in the response . the http requester is adding an inbound property with the status code of the response   but no property with the reason phrase . currently there is no way of getting the reason phrase of the response   analyze if it makes sense to add another inbound property with the reason phrase . the status code validator should also include the reason phrase when failing due to an invalid status code in the response . this is useful when consuming rest apis that add information in the reason phrase of an error status code response .
592,listener should respect keep-alive with http 1.0 and disable chunking . . with http 1.0 keepalive header   the http response from mule returns `` connection : close '' when streamingmode is always or the payload is an inputstream . i 'm not 100 % sure if http 1.0 officially supports chunking   but i am sure that the keepalive header should be respected an chunking should n't affect this .
593,inconsistent implementation of streamingmode= '' never '' between listener and requestor . . there are a number of cases tested in httplistenerresponsestreamingtestcase where even when responsestreamingmode= '' never '' chunking is still used . in my mind it should be the `` auto '' mode that decided if it should use chunking based on i ) payload type ii ) presence of headers . if there is a mode called `` never ''   it should never do chunking otherwise this is confusing/misleading . on the other hand   < request > currently throws an exception in this scenario . update behaviuor so that in both cases : auto : - chunking if payload is inputstream and no content-length header present . - else delete transfer-encoding header if present and log . always : - delete content-length header and log . never : - delete transfer-encoding header and log .
594,mule integration qa build is failing because of wrong sxc dependency version . tests/integration module is failing because is trying to retrieve sxc version   which is not needed .
595,support parameter grouping in configurations and operations . there are cases in which a group of parameters are frequently used together   for which it makes sense to treat them as a group . the extensions api already supports mapping pojos directly in the xml   but in same cases which group is preferred as parameters rather than a top level object . to enable that   the @ parameters operation will be created { code : java } @ extension public class myextension { @ parameters private options options ; } public class options { @ parameter private string color ; @ parameter @ optional private string mode ; private string owner ; } } { code } the outcome of the code above is a configuration with two parameters called 'color ' and 'mode '   one required and the other optional . the configuration has no attribute called options . if the options class were to have another field also annotated with @ parameters   then such fields will be ignored . in the same way   the annotation can be applied to a class holding operations : { code : java } public class operations { @ parameters private options options ; @ operation public void hello ( string message ) { ... } @ operation public void goodbye ( string message ) { } } { code } in this case   both operations will have three parameters : message   color and mode . the last use case for this annotation is to have nested parameter classes : { code : java } public class options { @ parameter private string color ; @ parameter @ optional private string mode ; @ parameters private moreoptions moreoptions ; } } { code } in this last example   the configuration/operation that is augmented with this extra parameters will have the sum of options and moreoptions parameters . those parameters will be flattened   meaning that the model will contain no reference to the fact that the moreoptions parameters were nested inside options . the field must be a java bean property ( ie it needs to have setters and getters matching the field name ) .
596,cleanup the @ operation annotation parameters . the @ operation parameter takes a name argument . that should be remove since directly contradicts the consistency that the api tries to enforce the annotation also contains an `` acceptedpayloadtypes '' which is no longer used . that should be cleaned up
597,move packages on annotations module from org.mule to org.mule.module.annotations . each module/bundle must use different packages names for osgi . annotations module uses org.mule prefix which belongs to mule-core
598,moving packages on spring-config module from org.mule to org.mule.module.springconfig . each module/bundle must use different packages names for osgi . spring cnofig module uses org.mule prefix which belongs to mule-core
599,write spec for validations extension . write and validate a spec for a new extension module for validation purposes .
600,build number maven plugin should be activated always . we are currently executing maven-build-number-plugin only in release profile   this should be ran for all profiles .
601,remove unused scripts . we need to see which of these scripts in buildtools/scripts are still being used   and remove the ones that are not : checkreintegratedworkingcopy.groovy deployartifacts.groovy eclipsexmlcatalog.groovy listexcludedtests.groovy listincludedtests.groovy listschema.groovy listtestexclusions.groovy scanlicenseheaders.groovy schemastatistics.groovy svnjiraparser.groovy svnjiraparser.sh svnpropertiessetter.sh switchlicenseheader.sh switchschemaversion.groovy switchversion.groovy xmlcatalogfrommulestandalonedistro.groovy build.sh compare_exclusions.sh mkpom.sh mule_root.sh mule_undo.sh tabstospaces.sh update_poms.sh
602,fail to expand properties when using property placeholder shared in a domain . steps : # deploy the below application and domain # put domain.properties in domain root dir # bin/mule * expected : mule starts and flow listens on 127.0.0.1:8811/in1 and 127.0.0.1:8811/in2 * actual : mule fails to start because $ [ http.port ] is an invalid value for port * note : i put domain.properties file in domain root directory because in domain/classes it is not found
603,core extension dependencies are not initialized in order . core extensions are initialized using the discorevy order instead of the order determined after resolving the dependencies .
604,move tests/functional tests to tests/integration . tests/functional should be only for test harness
605,do not publish test-jar for any module that is not test harness . we publish test source code   we do n't need to distribute test binaries except for the test harness .
606,remove functional-tests jar from distributions . validate with community/support/developers
607,integrate mule esb matchers . # test matchers # # pass and fail scenarios # # test error description # verify that we did n't created a similar one yet # documentation
608,supported and recommended jre version should be at least 1.7.0_60 . in mule-6866 we upgraded to groovy 2.3.7-indy but according to [ groovy docs|http : //groovy.codehaus.org/invokedynamic+support ] there are known issues with java versions lower than 7u60 . we should increase supported and recommended versions to 1.7.0_60
609,allow extension components to extend existing functionality . there 're cases in which an operation implemented through the ext-api should be part of an specific substitution group . because substitution groups are an xsd specific concept and because the same concept might be necessary in other dsl types   we need a mechanism to denote extensibility that goes beyond java 's `` extends '' and `` implements '' keywords but is still type related . for that purpose   two new annotations are created : @ extensible : means that a given type is extensible by another extension . it does n't mean type subclassing   but extension from a functionality point of view . this annotation has an optional string alias ( ) attribute to allow a better experience when generating xsd @ implementationof ( type=xx.class ) : this annotation can be used on a class or method implementing operations . it means that the affected operations are to be part of a substitution group defined by an extensible type . the type argument in this annotation is mandatory and has to be a type that is annotated with @ extensible
610,allow restriction on which types of operations can be nested . currently   the ext-api supports nested operations through the use of arguments of type nestedprocessor . however   the generated schema allows any type of message processor to be nested . there 're cases in which it 's necessary to limit that to specific groups . for those cases   a new annotation is created : @ restrictedto ( type=xx.class ) the type used in that annotation has to be annotated with @ extensible . by doing that   the schemagenerator will generate a specific named group for that extensible type and only items on that group will be allowed as nested for that operation
611,rename extensions - > extension in java package name . also extensionmanager is better than extensionsmanager in english imo .
